time_ms,Lead_I,Lead_II,Lead_III
0,-0.0092,-0.0058,0.0034
2,0.0015,-0.012,-0.0135
4,0.0063,-0.0004,-0.0066
6,0.0015,0.0057,0.0041
8,0.0061,-0.001,-0.0071
10,0.0086,-0.011,-0.0197
12,-0.0156,-0.0113,0.0043
14,0.0053,0.0185,0.0132
16,0.0296,0.0149,-0.0147
18,0.016,-0.0253,-0.0413
20,-0.0088,0.0152,0.0239
22,-0.0022,-0.0162,-0.0141
24,0.022,0.006,-0.016
26,0.0031,-0.0026,-0.0057
28,-0.0077,0.0369,0.0446
30,0.0088,0.0003,-0.0085
32,0.0052,0.0321,0.0269
34,0.0145,0.0276,0.0131
36,0.0331,0.0335,0.0004
38,0.0162,0.0362,0.02
40,-0.0083,0.0182,0.0265
42,0.0244,0.0162,-0.0082
44,0.0258,0.0205,-0.0053
46,0.0461,0.062,0.0159
48,0.0287,0.0349,0.0062
50,0.0318,0.0635,0.0317
52,0.0525,0.0917,0.0392
54,0.0963,0.1252,0.0289
56,0.0438,0.1068,0.063
58,0.0759,0.1335,0.0577
60,0.0984,0.1673,0.0689
62,0.1079,0.1847,0.0768
64,0.1093,0.2001,0.0908
66,0.1111,0.2212,0.1101
68,0.1103,0.2176,0.1074
70,0.1626,0.2889,0.1263
72,0.1731,0.2864,0.1133
74,0.197,0.2626,0.0655
76,0.1718,0.2749,0.103
78,0.1914,0.2893,0.0979
80,0.1801,0.2804,0.1003
82,0.2038,0.2717,0.0679
84,0.1843,0.2926,0.1083
86,0.178,0.2645,0.0865
88,0.1822,0.2491,0.0669
90,0.1346,0.2489,0.1143
92,0.1749,0.2258,0.0509
94,0.1466,0.2118,0.0652
96,0.1257,0.1947,0.069
98,0.1023,0.1763,0.074
100,0.0772,0.1745,0.0973
102,0.0989,0.1367,0.0378
104,0.0597,0.1291,0.0695
106,0.0539,0.1271,0.0732
108,0.0706,0.0666,-0.0039
110,0.0688,0.068,-0.0009
112,0.0423,0.0611,0.0188
114,0.0263,0.0523,0.026
116,0.0352,0.0611,0.0259
118,0.0141,0.0083,-0.0057
120,0.0326,0.0246,-0.008
122,0.0254,0.0218,-0.0037
124,-0.0071,0.0356,0.0427
126,0.0223,0.0279,0.0055
128,0.0033,0.0069,0.0037
130,0.0273,-0.0009,-0.0282
132,0.0069,0.0115,0.0047
134,0.0128,0.0116,-0.0012
136,0.0206,0.0008,-0.0198
138,0.0378,-0.0083,-0.046
140,0.0139,0.019,0.0051
142,0.0126,0.0173,0.0047
144,0.018,0.0098,-0.0082
146,0.0174,0.0233,0.0059
148,0.0396,0.038,-0.0016
150,0.08,0.1182,0.0382
152,0.153,0.2412,0.0882
154,0.283,0.4369,0.1538
156,0.4626,0.7322,0.2696
158,0.6615,1.0585,0.397
160,0.8633,1.3996,0.5363
162,1.0484,1.699,0.6506
164,1.1626,1.8582,0.6956
166,1.1543,1.8549,0.7006
168,1.0634,1.6775,0.614
170,0.8713,1.3891,0.5178
172,0.6574,1.0509,0.3936
174,0.4329,0.691,0.2581
176,0.229,0.3766,0.1476
178,0.0712,0.1103,0.0391
180,-0.0151,-0.0289,-0.0138
182,-0.0622,-0.104,-0.0418
184,-0.0917,-0.1388,-0.0472
186,-0.0506,-0.1303,-0.0797
188,-0.0455,-0.0863,-0.0408
190,-0.0291,-0.0513,-0.0222
192,-0.0224,-0.0331,-0.0106
194,-0.013,0.0366,0.0496
196,0.0005,0.0239,0.0234
198,0.0354,0.0256,-0.0098
200,0.0366,0.0426,0.006
202,0.0221,0.0403,0.0181
204,0.0354,0.0547,0.0192
206,0.0204,0.047,0.0266
208,0.0459,0.0899,0.044
210,0.0362,0.0406,0.0044
212,0.0609,0.0605,-0.0005
214,0.0739,0.0972,0.0234
216,0.0576,0.1044,0.0468
218,0.0767,0.0955,0.0188
220,0.0532,0.0988,0.0456
222,0.0794,0.1068,0.0274
224,0.0763,0.1213,0.045
226,0.0877,0.1169,0.0291
228,0.0777,0.1332,0.0555
230,0.1027,0.1081,0.0053
232,0.0801,0.1443,0.0642
234,0.1119,0.1775,0.0656
236,0.1115,0.1633,0.0518
238,0.0964,0.1768,0.0804
240,0.0979,0.141,0.0431
242,0.0944,0.2016,0.1071
244,0.1147,0.1701,0.0554
246,0.1376,0.1944,0.0568
248,0.1538,0.2189,0.0651
250,0.1391,0.2057,0.0666
252,0.1581,0.2391,0.081
254,0.1486,0.2323,0.0838
256,0.1405,0.2383,0.0977
258,0.1647,0.2816,0.1169
260,0.1707,0.2775,0.1068
262,0.2035,0.2843,0.0808
264,0.1953,0.2929,0.0977
266,0.2255,0.3192,0.0937
